id,vic_lga__2,vic_lga__5
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.61,WHITTLESEA CITY,26.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.62,BRIMBANK CITY,112.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.63,EAST GIPPSLAND SHIRE,5.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.64,LODDON SHIRE,3.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.65,CAMPASPE SHIRE,1.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.66,YARRA RANGES SHIRE,9.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.67,WELLINGTON SHIRE,26.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.68,CARDINIA SHIRE,12.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.69,MITCHELL SHIRE,3.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.70,GREATER BENDIGO CITY,3.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.71,CASEY CITY,802.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.72,NILLUMBIK SHIRE,7.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.73,MOUNT BAW BAW ALPINE RESORT (UNINCORPORATED),0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.74,GLEN EIRA CITY,2.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.75,GREATER DANDENONG CITY,15.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.76,WARRNAMBOOL CITY,8.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.77,BAYSIDE CITY,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.78,LAKE MOUNTAIN ALPINE RESORT (UNINCORPORATED),0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.79,MURRINDINDI SHIRE,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.80,COLAC OTWAY SHIRE,5.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.81,SWAN HILL RURAL CITY,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.82,MELBOURNE CITY,11.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.83,PORT PHILLIP CITY,6.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.84,GABO ISLAND (UNINCORPORATED),0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.85,FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.86,FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.87,BANYULE CITY,5.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.88,TOWONG SHIRE,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.89,QUEENSCLIFFE BOROUGH,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.90,FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.91,MOUNT STIRLING ALPINE RESORT (UNINCORPORATED),0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.92,MORNINGTON PENINSULA SHIRE,19.0
